season,abbreviation,playoffs,x3p,x3p_percent,x3pa,pts
2012,MIN,0,473,0.332,1423,6464
2012,NJN,0,507,0.342,1481,6144
2012,NOH,0,259,0.333,777,5916
2012,NYK,1,517,0.336,1538,6458
2012,OKC,1,472,0.358,1317,6802
2012,ORL,1,670,0.375,1785,6215
2012,PHI,1,349,0.362,963,6180
2012,PHO,0,444,0.343,1295,6492
2012,POR,0,478,0.346,1382,6415
2012,SAC,0,411,0.316,1301,6518
2012,SAS,1,552,0.393,1405,6841
2012,TOR,0,365,0.34,1075,5986
2012,UTA,1,273,0.323,845,6577
2012,WAS,0,344,0.32,1075,6180
2011,ATL,1,502,0.352,1427,7790
2011,BOS,1,408,0.365,1119,7913
2011,CHA,0,393,0.327,1203,7650
2011,CHI,1,511,0.361,1415,8087
2011,CLE,0,509,0.342,1489,7827
2011,DAL,1,645,0.365,1768,8220
2011,DEN,1,662,0.388,1704,8811
2011,DET,0,472,0.376,1256,7951
2011,GSW,0,685,0.392,1749,8477
2011,HOU,0,677,0.367,1843,8685
2011,IND,1,585,0.354,1653,8183
2011,LAC,0,513,0.338,1519,8089
2011,LAL,1,524,0.352,1487,8321
2011,MEM,1,309,0.334,926,8195
2011,MIA,1,547,0.37,1479,8369
2011,MIL,0,483,0.342,1414,7534
2011,MIN,0,589,0.376,1565,8288
2011,NJN,0,459,0.343,1337,7722
2011,NOH,1,444,0.36,1232,7784
2011,NYK,1,765,0.368,2081,8734
2011,OKC,1,487,0.347,1403,8596
2011,ORL,1,770,0.366,2103,8135
2011,PHI,1,443,0.355,1248,8119
2011,PHO,0,701,0.377,1857,8611
2011,POR,1,518,0.345,1503,7896
2011,SAC,0,428,0.335,1277,8151
2011,SAS,1,685,0.397,1727,8502
2011,TOR,0,345,0.316,1091,8124
2011,UTA,0,435,0.346,1256,8153
2011,WAS,0,392,0.332,1182,7977
2010,ATL,1,524,0.36,1455,8338
2010,BOS,1,499,0.348,1433,8136
2010,CHA,1,460,0.346,1331,7813
2010,CHI,1,352,0.33,1066,7993
2010,CLE,1,602,0.381,1582,8373
2010,DAL,1,558,0.372,1498,8364
2010,DEN,1,544,0.359,1517,8729
2010,DET,0,374,0.314,1190,7709
2010,GSW,0,633,0.375,1687,8922
2010,HOU,0,646,0.351,1838,8395
2010,IND,0,659,0.348,1896,8263
2010,LAC,0,483,0.332,1457,7849
2010,LAL,1,532,0.341,1562,8339
2010,MEM,0,344,0.337,1020,8404
2010,MIA,1,494,0.346,1426,7914
2010,MIL,1,645,0.356,1813,8009
2010,MIN,0,403,0.341,1181,8051
2010,NJN,0,377,0.318,1185,7575
2010,NOH,0,571,0.363,1572,8220
2010,NYK,0,743,0.346,2145,8373
2010,OKC,1,418,0.34,1229,8322
2010,ORL,1,841,0.375,2241,8426
2010,PHI,0,474,0.343,1381,8014
2010,PHO,1,730,0.412,1770,9039
